Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;16;39;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;17;38;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;18;38;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;19;40;5159;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndex;20;37;5163;2381;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;1;0;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;2;45;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;3;44;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;4;43;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;5;41;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;6;41;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;7;42;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;8;39;5186;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;9;40;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;10;40;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;11;40;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;12;42;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;13;39;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;14;39;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;15;40;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;16;38;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;17;39;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;18;39;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;19;40;5190;2359;100
CommitSingleFactOnIsolatedStore;MultiVersionColumnImprintsIndexWithoutRLECompression;20;40;5190;2359;100
EmptyThenRecreateTargetStore;MultiVersionColumnImprintsIndex;1;5723;6620;2383;100
