Index;Distribution;Cardinality;Indexed fields;Cacheline length;Average query time (in ms)
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;2;64;8.54
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;8;3.58
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;16;3.8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;32;5.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;64;8.22
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;8;7.16
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;16;6.65
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;32;6.92
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;64;8.6
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;8;3.57
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;16;3.96
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;32;5.8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;64;8.61
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;8;9.4
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;16;8.83
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;32;10.03
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;64;10.14
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;8;7.63
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;16;6.84
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;32;7.89
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;64;9.97
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;8;6.49
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;16;5.46
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;32;5.51
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;64;9.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;2;8;4.26
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;2;16;4.33
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;2;32;5.16
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;2;64;7.71
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;3;8;6.9
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;3;16;6.42
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;3;32;6.71
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;3;64;8.56
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;3;8;3.81
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;3;16;3.68
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;3;32;5.95
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;3;64;7.18
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;1;8;187.67
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;1;16;187.97
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;1;32;182.24
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;1;64;182.42
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;1;8;186.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;1;16;187.83
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;1;32;183.59
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;1;64;183.91
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;2;8;7.59
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;2;16;6.9
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;2;32;7.05
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;2;64;7.24
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;2;8;5.65
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;2;16;5.34
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;2;32;6.31
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;2;64;6.32
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;3;8;8.4
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;3;16;8.11
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;3;32;7.46
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10;3;64;6.95
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;3;8;5.42
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;3;16;5.88
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;3;32;7.05
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10;3;64;7.45
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;1;8;28.58
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;1;16;27.92
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;1;32;27.26
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;1;64;27.07
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;1;8;26.68
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;1;16;27.05
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;1;32;27.34
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;1;64;27.9
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;2;8;5.91
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;2;16;5.04
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;2;32;5.46
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;2;64;5.91
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;2;8;4.33
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;2;16;3.41
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;2;32;4.21
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;2;64;5.07
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;3;8;6.47
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;3;16;5.65
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;3;32;5.29
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;100;3;64;6.28
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;3;8;3.56
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;3;16;3.46
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;3;32;4.94
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;100;3;64;5.04
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;1;8;10.84
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;1;16;10.08
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;1;32;9.98
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;1;64;9.3
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;1;8;10.01
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;1;16;9.41
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;1;32;9.54
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;1;64;14.5
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;2;8;5.92
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;2;16;5.42
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;2;32;5.35
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;2;64;5.94
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;2;8;3.6
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;2;16;5.06
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;2;32;4.86
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;2;64;6.33
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;3;8;6.36
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;3;16;6.06
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;3;32;5.94
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;1000;3;64;5.92
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;3;8;3.38
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;3;16;3.97
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;3;32;5.21
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;1000;3;64;6.14
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;1;8;8.62
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;1;16;8.03
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;1;32;8.6
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;1;64;9.48
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;1;8;7.4
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;1;16;7.28
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;1;32;8.07
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;1;64;8.0
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;2;8;6.5
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;2;16;5.1
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;2;32;6.31
MultiVersionColumnImprintsSecondaryRecordIndex;LinearIncreasing;10000;2;64;6.52
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;2;8;3.56
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;2;16;3.75
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;LinearIncreasing;10000;2;32;5.35
